     5.506E+0000      5.528E+0002      1.178E-0021
     5.556E+0000      5.615E+0002      1.325E-0021
     5.606E+0000      5.705E+0002      1.496E-0021
     5.656E+0000      5.800E+0002      1.695E-0021
     5.706E+0000      5.898E+0002      1.929E-0021
     5.756E+0000      6.000E+0002      2.204E-0021
     5.806E+0000      6.107E+0002      2.530E-0021
     5.856E+0000      6.217E+0002      2.918E-0021
     5.906E+0000      6.326E+0002      3.377E-0021
     5.956E+0000      6.422E+0002      3.900E-0021
     6.006E+0000      6.474E+0002      4.436E-0021
     6.056E+0000      6.418E+0002      4.826E-0021
     6.106E+0000      6.161E+0002      4.785E-0021
     6.156E+0000      5.583E+0002      4.029E-0021
     6.206E+0000      4.558E+0002      2.629E-0021
     6.256E+0000      3.014E+0002      1.193E-0021
     6.306E+0000      1.216E+0002      3.205E-0022
     6.356E+0000      1.317E+0001      2.768E-0023
     6.406E+0000      7.384E-0002      1.480E-0025
     6.456E+0000      1.072E-0006      2.144E-0030
     6.507E+0000      1.053E-0016      2.107E-0040
     6.557E+0000      4.606E-0037      9.211E-0061
     6.607E+0000      3.694E-0078      7.388E-0102
     6.657E+0000      8.652E-0161      1.730E-0184
     6.707E+0000      0.000E+0000      0.000E+0000
     6.757E+0000      0.000E+0000      0.000E+0000
     6.807E+0000      0.000E+0000      0.000E+0000
     6.857E+0000      0.000E+0000      0.000E+0000
     6.907E+0000      0.000E+0000      0.000E+0000
     6.957E+0000      0.000E+0000      0.000E+0000
     7.007E+0000      0.000E+0000      0.000E+0000
     7.057E+0000      0.000E+0000      0.000E+0000
     7.107E+0000      0.000E+0000      0.000E+0000
     7.157E+0000      0.000E+0000      0.000E+0000
     7.207E+0000      0.000E+0000      0.000E+0000
     7.257E+0000      0.000E+0000      0.000E+0000
     7.307E+0000      0.000E+0000      0.000E+0000
     7.357E+0000      0.000E+0000      0.000E+0000
     7.407E+0000      0.000E+0000      0.000E+0000
     7.457E+0000      0.000E+0000      0.000E+0000
     7.508E+0000      0.000E+0000      0.000E+0000
     7.558E+0000      0.000E+0000      0.000E+0000
     7.608E+0000      0.000E+0000      0.000E+0000
     7.658E+0000      0.000E+0000      0.000E+0000
     7.708E+0000      0.000E+0000      0.000E+0000
     7.758E+0000      0.000E+0000      0.000E+0000
     7.808E+0000      0.000E+0000      0.000E+0000
     7.858E+0000      0.000E+0000      0.000E+0000
     7.908E+0000      0.000E+0000      0.000E+0000
     7.958E+0000      0.000E+0000      0.000E+0000
     8.008E+0000      0.000E+0000      0.000E+0000
     8.058E+0000      0.000E+0000      0.000E+0000
     8.108E+0000      0.000E+0000      0.000E+0000
     8.158E+0000      0.000E+0000      0.000E+0000
     8.208E+0000      0.000E+0000      0.000E+0000
     8.258E+0000      0.000E+0000      0.000E+0000
     8.308E+0000      0.000E+0000      0.000E+0000
     8.358E+0000      0.000E+0000      0.000E+0000
     8.408E+0000      0.000E+0000      0.000E+0000
     8.458E+0000      0.000E+0000      0.000E+0000
     8.509E+0000      0.000E+0000      0.000E+0000
     8.559E+0000      0.000E+0000      0.000E+0000
     8.609E+0000      0.000E+0000      0.000E+0000
     8.659E+0000      0.000E+0000      0.000E+0000
     8.709E+0000      0.000E+0000      0.000E+0000
     8.759E+0000      0.000E+0000      0.000E+0000
     8.809E+0000      0.000E+0000      0.000E+0000
     8.859E+0000      0.000E+0000      0.000E+0000
     8.909E+0000      0.000E+0000      0.000E+0000
